listing_id,price_eur,mileage_km,age_years,make,model,predicted_price_eur,pi_lower_eur,pi_upper_eur,bargain,bargain_score
291,25995,93145.0,4.0,audi,a3,23231.528183631952,17975.892450215462,28487.16391704842,0,0.0
320,26990,60000.0,3.0,audi,a3,26217.232290080217,20963.469878008327,31470.994702152093,0,0.0
455,40800,10.0,0.0,audi,a3,33117.66423920084,27854.51075739796,38380.817721003725,0,0.0
566,17925,65278.0,6.0,audi,a3,22169.509085178244,16914.38312096253,27424.635049393943,0,0.19145706243968993
628,29480,25000.0,0.0,audi,a3,31814.674190984293,26554.109718026866,37075.23866394171,0,0.07338356435678658
631,31329,27621.0,1.0,audi,a3,30420.505427943874,25162.646867861717,35678.363988026016,0,0.0
653,18500,32000.0,8.0,audi,a3,21389.62200556806,16108.99713324316,26670.24687789296,0,0.13509458020416845
664,32990,24865.0,1.0,audi,a3,30564.20453050029,25306.13423566101,35822.274825339555,0,0.0
684,11890,193567.0,13.0,audi,a3,6677.901498156039,1398.7835369864997,11957.019459325533,0,0.0
210,22999,99990.0,4.0,audi,a3,22874.62674785595,17617.300713487748,28131.95278222412,0,0.0
215,26950,40329.0,2.0,audi,a3,28500.39586392865,23244.944850916407,33755.84687694089,0,0.0543990992732455
225,17660,58751.0,5.0,audi,a3,23767.33847760377,18513.333672280827,29021.3432829267,1,0.2569634998617445
229,22350,92295.0,3.0,audi,a3,24533.356195356184,19274.289134650124,29792.423256062215,0,0.08899541416063825
261,24900,16480.0,2.0,audi,a3,29743.89364943952,24484.9442830011,35002.84301587794,0,0.16285338115209394
276,12940,152694.0,10.0,audi,a3,12581.56430955134,7318.000109663012,17845.128509439637,0,0.0
340,13990,74872.0,10.0,audi,a3,16639.239040736164,11365.058696882787,21913.419384589535,0,0.1592163580468013
410,20900,69000.0,4.0,audi,a3,24490.459544743942,19237.661662067454,29743.257427420423,0,0.14660645865726576
489,18450,10504.0,6.0,audi,a3,25025.450537799832,19747.411599948857,30303.489475650815,1,0.2627505358142466
556,15990,127626.0,7.0,audi,a3,17661.14718048796,12403.559508215327,22918.734852760554,0,0.09462279904072383
620,26850,14780.0,2.0,audi,a3,29832.53242822976,24573.15244192307,35091.91241453645,0,0.09997583796833369
643,37290,36.0,0.0,audi,a3,33116.30858728994,27853.160506411896,38379.456668167986,0,0.0
697,14950,106323.0,8.0,audi,a3,17514.3867373168,12258.508167577314,22770.265307056263,0,0.14641601648849184
705,17845,106161.0,5.0,audi,a3,21295.35935851826,16039.404312648825,26551.314404387667,0,0.16202400252701527
716,24950,79759.0,6.0,audi,a3,21414.46311125972,16161.217878808926,26667.708343710485,0,0.0
222,15990,91000.0,11.0,audi,a3,14540.809109978218,9265.274098070138,19816.34412188629,0,0.0
239,23850,46272.0,3.0,audi,a3,26933.016499040477,21678.869507554802,32187.163490526138,0,0.11446978095269476
272,32900,24834.0,1.0,audi,a3,30565.82088470176,25307.7478474768,35823.893921926705,0,0.0
355,22449,99750.0,6.0,audi,a3,20372.123213144587,15118.594282986793,25625.65214330235,0,0.0
492,18990,72076.0,6.0,audi,a3,21815.0582509335,16561.03337575899,27069.083126107995,0,0.129500376228086
503,21990,55167.0,4.0,audi,a3,25211.718501805954,19958.350818055587,30465.086185556313,0,0.127786549003995
555,15490,124998.0,12.0,audi,a3,11510.629192760494,6238.029835109257,16783.228550411717,0,0.0
589,22700,48900.0,2.0,audi,a3,28053.499997451494,22798.14566481436,33308.854330088616,1,0.1908318034447691
645,37990,15.0,0.0,audi,a3,33117.403536910286,27854.25109418443,38380.55597963614,0,0.0
703,17499,100273.0,7.0,audi,a3,19087.345131222948,13833.270224678368,24341.420037767508,0,0.08321456547797965
246,25490,54152.0,3.0,audi,a3,26522.14968911865,21268.41604569792,31775.883332539368,0,0.03891651699492952
381,34949,18000.0,1.0,audi,a3,30922.14877543853,25663.275312633872,36181.02223824318,0,0.0
413,22900,92351.0,3.0,audi,a3,24530.436329701915,19271.352511102003,29789.5201483018,0,0.06646585114867086
472,9490,159000.0,12.0,audi,a3,9737.749336039436,4467.755221487149,15007.743450591686,0,0.025442155829840014
514,24500,29399.0,4.0,audi,a3,26555.27382643357,21296.5822095469,31813.96544332024,0,0.0773960697926495
649,7900,211000.0,11.0,audi,a3,8283.954136549386,2998.112682232025,13569.795590866688,0,0.046349138372863925
270,31790,24654.0,1.0,audi,a3,30575.2061671619,25317.117047827775,35833.295286496024,0,0.0
343,16650,61000.0,11.0,audi,a3,16105.022853335427,10813.361382053452,21396.684324617403,0,0.0
348,18750,74100.0,6.0,audi,a3,21709.525963715,16455.754336621932,26963.297590808055,0,0.13632384091027652
366,23900,96000.0,3.0,audi,a3,24340.17579805157,19079.943702132816,29600.407893970292,0,0.01808433109537379
414,22900,99000.0,6.0,audi,a3,20411.228556728514,15157.770586557894,25664.686526899106,0,0.0
439,29900,90602.0,2.0,audi,a3,25879.13861326875,20615.501555093735,31142.77567144374,0,0.0
451,36800,34477.0,2.0,audi,a3,28805.52182479953,23549.652166207386,34061.391483391664,0,0.0
467,23590,77574.0,5.0,audi,a3,22785.898634563346,17533.368465480617,28038.428803646053,0,0.0
568,18980,95500.0,2.0,audi,a3,25623.754649436632,20358.19370900838,30889.315589864855,1,0.25928107493734154
570,19190,122900.0,4.0,audi,a3,21680.088852512163,16414.266013698743,26945.911691325546,0,0.1148560261653921
572,19900,52000.0,7.0,audi,a3,21604.32146565903,16341.198551808626,26867.44437950943,0,0.07888798860765527
592,22990,37816.0,4.0,audi,a3,26116.407590505652,20860.06447583275,31372.750705178547,0,0.11971047624644307
656,25900,49795.0,3.0,audi,a3,26749.32566511223,21495.427622196254,32003.22370802819,0,0.03175129256510418
668,38900,7.0,0.0,audi,a3,33117.820660575184,27854.66655522605,38380.974765924315,0,0.0
717,26950,99245.0,4.0,audi,a3,22913.47138914932,17656.348280029164,28170.594498269453,0,0.0
209,19990,174008.0,2.0,audi,a3,21530.31156398704,16206.930250934147,26853.692877039877,0,0.07154153619232634
301,33950,35402.0,4.0,audi,a3,26242.274656387795,20985.318412095065,31499.23090068052,0,0.0
331,27490,75500.0,3.0,audi,a3,25409.05518934566,20153.8337500703,30664.276628621003,0,0.0
360,22990,107850.0,3.0,audi,a3,23722.31136942547,18457.58592881103,28987.036810039877,0,0.030870152491519524
442,32200,29800.0,2.0,audi,a3,29049.382747388918,23792.972808005463,34305.792686772365,0,0.0
537,5490,200000.0,13.0,audi,a3,6342.48193112214,1061.4878035937481,11623.476058650485,0,0.13440825537697906
558,16300,136121.0,7.0,audi,a3,17218.21398882731,11958.264395491658,22478.163582162924,0,0.05332806233115273
567,18190,78576.0,5.0,audi,a3,22733.653895535215,17481.119192159258,27986.18859891115,0,0.19986465512381044
579,21400,90300.0,5.0,audi,a3,22122.359164631216,16869.14772181332,27375.57060744909,0,0.03265289923445911
581,21500,79800.0,7.0,audi,a3,20154.81673014802,14899.280015987886,25410.35344430814,0,0.0
615,25950,63885.0,7.0,audi,a3,20984.63212099902,15725.540800647166,26243.72344135086,0,0.0
