make,model,mileage,price,price_label,registration,fuel,country,power_hp,country_name,page
audi,a3,71520,21950,somewhat-expensive,02-2018,b,d,150,germany,11
audi,a3,30800,26390,top-price,08-2021,2,d,150,germany,11
audi,a3,44793,21990,top-price,06-2022,2,d,204,germany,11
audi,a3,71550,24990,good-price,03-2022,d,d,150,germany,11
audi,a3,9850,27890,top-price,05-2024,b,d,150,germany,11
audi,a3,65696,24440,good-price,01-2024,b,d,150,germany,11
audi,a3,27994,23890,good-price,08-2022,2,d,204,germany,11
audi,a3,53900,21940,somewhat-expensive,07-2017,b,d,150,germany,11
audi,a3,189245,3990,somewhat-expensive,12-2004,b,d,102,germany,12
audi,a3,40230,24980,good-price,12-2023,b,d,150,germany,12
audi,a3,81554,17460,good-price,05-2018,b,d,150,germany,12
audi,a3,6799,27399,top-price,02-2025,b,d,116,germany,12
audi,a3,26305,24630,top-price,12-2022,2,d,204,germany,12
audi,a3,18000,32970,fair-price,07-2023,b,d,150,germany,12
audi,a3,20090,26490,good-price,06-2024,b,d,110,germany,12
audi,a3,17600,26900,good-price,10-2022,2,d,150,germany,12
audi,a3,43024,25630,good-price,07-2022,d,d,150,germany,12
audi,a3,9529,36500,fair-price,11-2024,b,d,150,germany,12
audi,a3,148000,15990,somewhat-expensive,12-2019,b,d,150,germany,12
audi,a3,46495,22479,good-price,09-2022,b,d,110,germany,12
audi,a3,33600,26949,fair-price,11-2023,b,d,150,germany,12
audi,a3,104172,20890,top-price,06-2021,b,d,150,germany,12
audi,a3,35498,24950,good-price,12-2022,2,d,204,germany,12
audi,a3,75962,23960,good-price,06-2020,b,d,190,germany,12
audi,a3,63095,23930,fair-price,12-2019,b,d,190,germany,12
audi,a3,11710,36450,top-price,02-2025,b,d,150,germany,12
audi,a3,38210,29850,fair-price,10-2022,2,d,245,germany,12
audi,a3,60346,24950,good-price,10-2021,d,d,150,germany,12
audi,a3,60566,24990,fair-price,11-2022,b,d,110,germany,13
audi,a3,34950,28690,good-price,10-2022,2,d,245,germany,13
audi,a3,13444,34440,top-price,11-2024,d,d,150,germany,13
audi,a3,55340,16880,good-price,08-2017,b,d,150,germany,13
audi,a3,29746,29990,top-price,11-2024,d,d,150,germany,13
audi,a3,12497,28970,top-price,06-2024,b,d,150,germany,13
audi,a3,25494,24470,fair-price,08-2023,b,d,110,germany,13
audi,a3,20322,28960,top-price,10-2024,b,d,150,germany,13
audi,a3,48801,27930,fair-price,08-2022,b,d,150,germany,13
audi,a3,28100,27349,top-price,01-2025,d,d,116,germany,13
audi,a3,47636,25150,good-price,10-2022,d,d,150,germany,13
audi,a3,44404,26480,top-price,10-2022,2,d,245,germany,13
audi,a3,121900,22990,top-price,07-2023,d,d,150,germany,13
audi,a3,24323,27316,top-price,12-2024,b,d,116,germany,13
audi,a3,20438,32900,good-price,02-2025,b,d,150,germany,13
audi,a3,0,40990,unknown,new,b,d,150,germany,13
audi,a3,74824,19980,fair-price,08-2017,b,d,150,germany,13
audi,a3,24726,34880,good-price,04-2023,d,d,200,germany,13
audi,a3,24980,26990,good-price,05-2023,d,d,150,germany,13
audi,a3,44763,25889,fair-price,11-2022,2,d,204,germany,13
audi,a3,80000,19750,top-price,12-2022,2,d,204,germany,14
audi,a3,13441,27890,good-price,04-2024,d,d,116,germany,14
audi,a3,130000,14990,good-price,07-2017,2,d,150,germany,14
audi,a3,87254,23780,fair-price,02-2022,d,d,116,germany,14
audi,a3,26270,26950,good-price,03-2025,b,d,116,germany,14
audi,a3,8636,35250,top-price,11-2024,b,d,150,germany,14
audi,a3,120890,21498,good-price,05-2023,d,d,116,germany,14
audi,a3,133791,19290,top-price,11-2022,d,d,116,germany,14
audi,a3,8500,33850,good-price,08-2025,b,d,150,germany,14
audi,a3,49300,29900,good-price,04-2021,b,d,150,germany,14
audi,a3,99920,19820,top-price,06-2022,2,d,204,germany,14
audi,a3,7675,31980,good-price,12-2022,2,d,204,germany,14
audi,a3,17000,27490,fair-price,02-2025,b,d,116,germany,14
audi,a3,86676,21250,top-price,03-2021,b,d,150,germany,14
audi,a3,110291,19890,fair-price,10-2022,2,d,204,germany,14
audi,a3,43500,24449,good-price,11-2022,b,d,110,germany,14
audi,a3,82459,24460,fair-price,12-2022,2,d,204,germany,14
audi,a3,9200,35890,good-price,11-2024,d,d,150,germany,14
audi,a3,33900,23490,fair-price,12-2022,2,d,204,germany,14
audi,a3,109721,19880,good-price,12-2022,2,d,204,germany,14
audi,a3,193060,16950,top-price,11-2020,d,d,150,germany,15
audi,a3,77480,26980,top-price,06-2023,b,d,150,germany,15
audi,a3,126750,16980,fair-price,01-2017,d,d,150,germany,15
audi,a3,80500,25670,fair-price,09-2022,d,d,150,germany,15
audi,a3,1,35990,unknown,12-2025,b,d,150,germany,15
audi,a3,49250,20490,fair-price,08-2020,d,d,116,germany,15
audi,a3,7100,33990,top-price,02-2025,b,d,116,germany,15
audi,a3,56890,24950,fair-price,10-2021,d,d,150,germany,15
audi,a3,68800,23888,fair-price,10-2021,b,d,150,germany,15
audi,a3,19100,42450,somewhat-expensive,12-2024,d,d,150,germany,15
audi,a3,62408,26385,fair-price,09-2021,b,d,150,germany,15
audi,a3,99514,19860,fair-price,06-2018,b,d,150,germany,15
